sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Control)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Partitions (Valid)","Partitions (Positive)","Partitions (Negative)","Threshold","Volume per well [µl]","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","E2","T4","Sample","16s 18s","16s","-","-","4431.1","-","2.7%","-","-","8073","6030","2043","49.09","2.639","-","-","-","-","-"
"","","","E2","T4","Sample","16s 18s","18s","-","-","7097.6","-","2.9%","-","-","7435","6612","823","61.84","2.639","-","-","-","-","-"
"","","","E3","T5","Sample","16s 18s","16s","-","-","18121.0","-","6.6%","-","-","8279","8248","31","55.46","2.624","-","-","-","-","-"
"","","","E3","T5","Sample","16s 18s","18s","-","-","5153.3","-","2.7%","-","-","8279","6589","1690","61.84","2.624","-","-","-","-","-"
"","","","E4","T5","Sample","16s 18s","16s","-","-","18896.1","-","7.1%","-","-","8293","8268","25","65.66","2.614","-","-","-","-","-"
"","","","E4","T5","Sample","16s 18s","18s","-","-","5617.8","-","2.9%","-","-","7222","5936","1286","59.29","2.614","-","-","-","-","-"
"","","","E5","T6","Sample","16s 18s","16s","-","-","22510.9","-","10.8%","-","-","8279","8269","10","45.26","2.54","-","-","-","-","-"
"","","","E5","T6","Sample","16s 18s","18s","-","-","3990.2","-","3.2%","-","-","5962","4150","1812","55.46","2.54","-","-","-","-","-"
"","","","E6","T6","Sample","16s 18s","16s","-","-","0","-","-","-","-","8267","0","8267","117.56","2.563","-","-","-","-","-"
"","","","E6","T6","Sample","16s 18s","18s","-","-","2376.7","-","3.3%","-","-","7007","3582","3425","69.49","2.563","-","-","-","-","-"
"","","","E7","T7","Sample","16s 18s","16s","-","-","0","-","-","-","-","8275","0","8275","117.56","2.521","-","-","-","-","-"
"","","","E7","T7","Sample","16s 18s","18s","-","-","1274.9","-","3.9%","-","-","8218","2585","5633","64.39","2.521","-","-","-","-","-"
"","","","E8","T7","Sample","16s 18s","16s","-","-","0","-","-","-","-","8277","0","8277","123.93","2.543","-","-","-","-","-"
"","","","E8","T7","Sample","16s 18s","18s","-","-","661.0","-","5.3%","-","-","7604","1363","6241","69.49","2.543","-","-","-","-","-"
"","","","E9","PureBacteria","Sample","16s 18s","16s","-","-","56.39","-","16.6%","-","-","8275","140","8135","45.26","2.575","-","-","-","-","-"
"","","","E9","PureBacteria","Sample","16s 18s","18s","-","-","1317.3","-","3.8%","-","-","8131","2673","5458","69.49","2.575","-","-","-","-","-"
"","","","E10","PureBacteria","Sample","16s 18s","16s","-","-","60.91","-","16.0%","-","-","8282","151","8131","44.63","2.571","-","-","-","-","-"
"","","","E10","PureBacteria","Sample","16s 18s","18s","-","-","1302.7","-","3.8%","-","-","8145","2650","5495","64.39","2.571","-","-","-","-","-"
"","","","E11","PureBacteria","Sample","16s 18s","16s","-","-","0","-","-","-","-","8278","0","8278","121.38","2.615","-","-","-","-","-"
"","","","E11","PureBacteria","Sample","16s 18s","18s","-","-","8.660","-","41.8%","-","-","8278","22","8256","68.21","2.615","-","-","-","-","-"
"","","","E12","PureBacteria","Sample","16s 18s","16s","-","-","0","-","-","-","-","8279","0","8279","125.21","2.692","-","-","-","-","-"
"","","","E12","PureBacteria","Sample","16s 18s","18s","-","-","0","-","-","-","-","8279","0","8279","98.43","2.692","-","-","-","-","-"
"","","","F1","PureBacteria","Sample","16s 18s","16s","-","-","14118.2","-","4.5%","-","-","8274","8177","97","41.44","2.68","-","-","-","-","-"
"","","","F1","PureBacteria","Sample","16s 18s","18s","-","-","4.224","-","59.1%","-","-","8274","11","8263","60.56","2.68","-","-","-","-","-"
"","","","F2","PureBacteria","Sample","16s 18s","16s","-","-","14482.3","-","4.6%","-","-","8262","8174","88","45.26","2.669","-","-","-","-","-"
"","","","F2","PureBacteria","Sample","16s 18s","18s","-","-","5.407","-","52.4%","-","-","8262","14","8248","61.20","2.669","-","-","-","-","-"
"","","","F3","PureBacteria","Sample","16s 18s","16s","-","-","13369.9","-","4.1%","-","-","8258","8121","137","43.99","2.609","-","-","-","-","-"
"","","","F3","PureBacteria","Sample","16s 18s","18s","-","-","3858.5","-","4.1%","-","-","3636","2522","1114","28.69","2.609","-","-","-","-","-"
"","","","F4","PureBacteria","Sample","16s 18s","16s","-","-","0","-","-","-","-","8250","0","8250","113.73","2.562","-","-","-","-","-"
"","","","F4","PureBacteria","Sample","16s 18s","18s","-","-","6.448","-","49.0%","-","-","8250","16","8234","66.30","2.562","-","-","-","-","-"
"","","","F5","PureHuman","Sample","16s 18s","16s","-","-","0.408","-","147.5%","-","-","8246","1","8245","106.08","2.532","-","-","-","-","-"
"","","","F5","PureHuman","Sample","16s 18s","18s","-","-","3.670","-","65.3%","-","-","8246","9","8237","74.59","2.532","-","-","-","-","-"
"","","","F6","PureHuman","Sample","16s 18s","16s","-","-","0","-","-","-","-","8268","0","8268","113.73","2.566","-","-","-","-","-"
"","","","F6","PureHuman","Sample","16s 18s","18s","-","-","7.228","-","46.2%","-","-","8268","18","8250","77.14","2.566","-","-","-","-","-"
"","","","F7","PureHuman","Sample","16s 18s","16s","-","-","10.56","-","38.4%","-","-","8250","26","8224","45.26","2.544","-","-","-","-","-"
"","","","F7","PureHuman","Sample","16s 18s","18s","-","-","9020.0","-","3.1%","-","-","7799","7273","526","53.55","2.544","-","-","-","-","-"
